survived,pclass,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,dest
1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",F,43,0,1,24160,211.3375,B3,S,2,,"St Louis, MO"
0,1,"Roebling, Mr. Washington Augustus II",M,31,0,0,PC 17590,50.4958,A24,S,,,"Trenton, NJ"
1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",M,45,0,0,111428,26.55,,S,9,,"New York, NY"
0,1,"Rood, Mr. Hugh Roscoe",M,,0,0,113767,50,A32,S,,,"Seattle, WA"
1,1,"Rosenbaum, Miss. Edith Louise",F,33,0,0,PC 17613,27.7208,A11,C,11,,"Paris, France"
0,1,"Rosenshine, Mr. George (""Mr George Thorne"")",M,46,0,0,PC 17585,79.2,,C,,16,"New York, NY"
0,1,"Ross, Mr. John Hugo",M,36,0,0,13049,40.125,A10,C,,,"Winnipeg, MB"
1,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",F,33,0,0,110152,86.5,B77,S,8,,"London  Vancouver, BC"
0,1,"Rothschild, Mr. Martin",M,55,1,0,PC 17603,59.4,,C,,,"New York, NY"
1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",F,54,1,0,PC 17603,59.4,,C,6,,"New York, NY"
0,1,"Rowe, Mr. Alfred G",M,33,0,0,113790,26.55,,S,,109,London
1,1,"Ryerson, Master. John Borie",M,13,2,2,PC 17608,262.375,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY"
1,1,"Ryerson, Miss. Emily Borie",F,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY"
1,1,"Ryerson, Miss. Susan Parker ""Suzette""",F,21,2,2,PC 17608,262.375,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY"
0,1,"Ryerson, Mr. Arthur Larned",M,61,1,3,PC 17608,262.375,B57 B59 B63 B66,C,,,"Haverford, PA / Cooperstown, NY"
1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",F,48,1,3,PC 17608,262.375,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY"
1,1,"Saalfeld, Mr. Adolphe",M,,0,0,19988,30.5,C106,S,3,,"Manchester, England"
1,1,"Sagesser, Mlle. Emma",F,24,0,0,PC 17477,69.3,B35,C,9,,
1,1,"Salomon, Mr. Abraham L",M,,0,0,111163,26,,S,1,,"New York, NY"
1,1,"Schabert, Mrs. Paul (Emma Mock)",F,35,1,0,13236,57.75,C28,C,11,,"New York, NY"
1,1,"Serepeca, Miss. Augusta",F,30,0,0,113798,31,,C,4,,
1,1,"Seward, Mr. Frederic Kimber",M,34,0,0,113794,26.55,,S,7,,"New York, NY"
1,1,"Shutes, Miss. Elizabeth W",F,40,0,0,PC 17582,153.4625,C125,S,3,,"New York, NY / Greenwich CT"
1,1,"Silverthorne, Mr. Spencer Victor",M,35,0,0,PC 17475,26.2875,E24,S,5,,"St Louis, MO"
0,1,"Silvey, Mr. William Baird",M,50,1,0,13507,55.9,E44,S,,,"Duluth, MN"
1,1,"Silvey, Mrs. William Baird (Alice Munger)",F,39,1,0,13507,55.9,E44,S,11,,"Duluth, MN"
1,1,"Simonius-Blumer, Col. Oberst Alfons",M,56,0,0,13213,35.5,A26,C,3,,"Basel, Switzerland"
1,1,"Sloper, Mr. William Thompson",M,28,0,0,113788,35.5,A6,S,7,,"New Britain, CT"
0,1,"Smart, Mr. John Montgomery",M,56,0,0,113792,26.55,,S,,,"New York, NY"
0,1,"Smith, Mr. James Clinch",M,56,0,0,17764,30.6958,A7,C,,,"St James, Long Island, NY"
0,1,"Smith, Mr. Lucien Philip",M,24,1,0,13695,60,C31,S,,,"Huntington, WV"
0,1,"Smith, Mr. Richard William",M,,0,0,113056,26,A19,S,,,"Streatham, Surrey"
1,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",F,18,1,0,13695,60,C31,S,6,,"Huntington, WV"
1,1,"Snyder, Mr. John Pillsbury",M,24,1,0,21228,82.2667,B45,S,7,,"Minneapolis, MN"
1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",F,23,1,0,21228,82.2667,B45,S,7,,"Minneapolis, MN"
1,1,"Spedden, Master. Robert Douglas",M,6,0,2,16966,134.5,E34,C,3,,"Tuxedo Park, NY"
1,1,"Spedden, Mr. Frederic Oakley",M,45,1,1,16966,134.5,E34,C,3,,"Tuxedo Park, NY"
1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",F,40,1,1,16966,134.5,E34,C,3,,"Tuxedo Park, NY"
0,1,"Spencer, Mr. William Augustus",M,57,1,0,PC 17569,146.5208,B78,C,,,"Paris, France"
1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",F,,1,0,PC 17569,146.5208,B78,C,6,,"Paris, France"
1,1,"Stahelin-Maeglin, Dr. Max",M,32,0,0,13214,30.5,B50,C,3,,"Basel, Switzerland"
0,1,"Stead, Mr. William Thomas",M,62,0,0,113514,26.55,C87,S,,,"Wimbledon Park, London / Hayling Island, Hants"
1,1,"Stengel, Mr. Charles Emil Henry",M,54,1,0,11778,55.4417,C116,C,1,,"Newark, NJ"
1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",F,43,1,0,11778,55.4417,C116,C,5,,"Newark, NJ"
1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",F,52,1,0,36947,78.2667,D20,C,4,,"Haverford, PA"
0,1,"Stewart, Mr. Albert A",M,,0,0,PC 17605,27.7208,,C,,,"Gallipolis, Ohio / ? Paris / New York"
1,1,"Stone, Mrs. George Nelson (Martha Evelyn)",F,62,0,0,113572,80,B28,,6,,"Cincinatti, OH"
0,1,"Straus, Mr. Isidor",M,67,1,0,PC 17483,221.7792,C55 C57,S,,96,"New York, NY"
0,1,"Straus, Mrs. Isidor (Rosalie Ida Blun)",F,63,1,0,PC 17483,221.7792,C55 C57,S,,,"New York, NY"
0,1,"Sutton, Mr. Frederick",M,61,0,0,36963,32.3208,D50,S,,46,"Haddenfield, NJ"
1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",F,48,0,0,17466,25.9292,D17,S,8,,"Brooklyn, NY"
1,1,"Taussig, Miss. Ruth",F,18,0,2,110413,79.65,E68,S,8,,"New York, NY"
0,1,"Taussig, Mr. Emil",M,52,1,1,110413,79.65,E67,S,,,"New York, NY"
1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",F,39,1,1,110413,79.65,E67,S,8,,"New York, NY"
1,1,"Taylor, Mr. Elmer Zebley",M,48,1,0,19996,52,C126,S,5 7,,"London /  East Orange, NJ"
1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",F,,1,0,19996,52,C126,S,5 7,,"London /  East Orange, NJ"
0,1,"Thayer, Mr. John Borland",M,49,1,1,17421,110.8833,C68,C,,,"Haverford, PA"
1,1,"Thayer, Mr. John Borland Jr",M,17,0,2,17421,110.8833,C70,C,B,,"Haverford, PA"
1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",F,39,1,1,17421,110.8833,C68,C,4,,"Haverford, PA"
1,1,"Thorne, Mrs. Gertrude Maybelle",F,,0,0,PC 17585,79.2,,C,D,,"New York, NY"
1,1,"Tucker, Mr. Gilbert Milligan Jr",M,31,0,0,2543,28.5375,C53,C,7,,"Albany, NY"
0,1,"Uruchurtu, Don. Manuel E",M,40,0,0,PC 17601,27.7208,,C,,,"Mexico City, Mexico"
0,1,"Van der hoef, Mr. Wyckoff",M,61,0,0,111240,33.5,B19,S,,245,"Brooklyn, NY"
0,1,"Walker, Mr. William Anderson",M,47,0,0,36967,34.0208,D46,S,,,"East Orange, NJ"
1,1,"Ward, Miss. Anna",F,35,0,0,PC 17755,512.3292,,C,3,,
0,1,"Warren, Mr. Frank Manley",M,64,1,0,110813,75.25,D37,C,,,"Portland, OR"
1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",F,60,1,0,110813,75.25,D37,C,5,,"Portland, OR"
0,1,"Weir, Col. John",M,60,0,0,113800,26.55,,S,,,"England Salt Lake City, Utah"
0,1,"White, Mr. Percival Wayland",M,54,0,1,35281,77.2875,D26,S,,,"Brunswick, ME"
0,1,"White, Mr. Richard Frasar",M,21,0,1,35281,77.2875,D26,S,,169,"Brunswick, ME"
1,1,"White, Mrs. John Stuart (Ella Holmes)",F,55,0,0,PC 17760,135.6333,C32,C,8,,"New York, NY / Briarcliff Manor NY"
1,1,"Wick, Miss. Mary Natalie",F,31,0,2,36928,164.8667,C7,S,8,,"Youngstown, OH"
0,1,"Wick, Mr. George Dennick",M,57,1,1,36928,164.8667,,S,,,"Youngstown, OH"
1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)",F,45,1,1,36928,164.8667,,S,8,,"Youngstown, OH"
0,1,"Widener, Mr. George Dunton",M,50,1,1,113503,211.5,C80,C,,,"Elkins Park, PA"
0,1,"Widener, Mr. Harry Elkins",M,27,0,2,113503,211.5,C82,C,,,"Elkins Park, PA"
1,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",F,50,1,1,113503,211.5,C80,C,4,,"Elkins Park, PA"
1,1,"Willard, Miss. Constance",F,21,0,0,113795,26.55,,S,8 10,,"Duluth, MN"
0,1,"Williams, Mr. Charles Duane",M,51,0,1,PC 17597,61.3792,,C,,,"Geneva, Switzerland / Radnor, PA"
1,1,"Williams, Mr. Richard Norris II",M,21,0,1,PC 17597,61.3792,,C,A,,"Geneva, Switzerland / Radnor, PA"
0,1,"Williams-Lambert, Mr. Fletcher Fellows",M,,0,0,113510,35,C128,S,,,"London, England"
1,1,"Wilson, Miss. Helen Alice",F,31,0,0,16966,134.5,E39 E41,C,3,,
1,1,"Woolner, Mr. Hugh",M,,0,0,19947,35.5,C52,S,D,,"London, England"
0,1,"Wright, Mr. George",M,62,0,0,113807,26.55,,S,,,"Halifax, NS"
1,1,"Young, Miss. Marie Grice",F,36,0,0,PC 17760,135.6333,C32,C,8,,"New York, NY / Washington, DC"
0,2,"Abelson, Mr. Samuel",M,30,1,0,P/PP 3381,24,,C,,,"Russia New York, NY"
1,2,"Abelson, Mrs. Samuel (Hannah Wizosky)",F,28,1,0,P/PP 3381,24,,C,10,,"Russia New York, NY"
0,2,"Aldworth, Mr. Charles Augustus",M,30,0,0,248744,13,,S,,,"Bryn Mawr, PA, USA"
0,2,"Andrew, Mr. Edgardo Samuel",M,18,0,0,231945,11.5,,S,,,"Buenos Aires, Argentina / New Jersey, NJ"
0,2,"Andrew, Mr. Frank Thomas",M,25,0,0,C.A. 34050,10.5,,S,,,"Cornwall, England Houghton, MI"
0,2,"Angle, Mr. William A",M,34,1,0,226875,26,,S,,,"Warwick, England"
1,2,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",F,36,1,0,226875,26,,S,11,,"Warwick, England"
0,2,"Ashby, Mr. John",M,57,0,0,244346,13,,S,,,"West Hoboken, NJ"
0,2,"Bailey, Mr. Percy Andrew",M,18,0,0,29108,11.5,,S,,,"Penzance, Cornwall / Akron, OH"
0,2,"Baimbrigge, Mr. Charles Robert",M,23,0,0,C.A. 31030,10.5,,S,,,Guernsey
1,2,"Ball, Mrs. (Ada E Hall)",F,36,0,0,28551,13,D,S,10,,"Bristol, Avon / Jacksonville, FL"
0,2,"Banfield, Mr. Frederick James",M,28,0,0,C.A./SOTON 34068,10.5,,S,,,"Plymouth, Dorset / Houghton, MI"
0,2,"Bateman, Rev. Robert James",M,51,0,0,S.O.P. 1166,12.525,,S,,174,"Jacksonville, FL"
1,2,"Beane, Mr. Edward",M,32,1,0,2908,26,,S,13,,"Norwich / New York, NY"
1,2,"Beane, Mrs. Edward (Ethel Clarke)",F,19,1,0,2908,26,,S,13,,"Norwich / New York, NY"
0,2,"Beauchamp, Mr. Henry James",M,28,0,0,244358,26,,S,,,England
1,2,"Becker, Master. Richard F",M,1,2,1,230136,39,F4,S,11,,"Guntur, India / Benton Harbour, MI"
1,2,"Becker, Miss. Marion Louise",F,4,2,1,230136,39,F4,S,11,,"Guntur, India / Benton Harbour, MI"
1,2,"Becker, Miss. Ruth Elizabeth",F,12,2,1,230136,39,F4,S,13,,"Guntur, India / Benton Harbour, MI"
1,2,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",F,36,0,3,230136,39,F4,S,11,,"Guntur, India / Benton Harbour, MI"
1,2,"Beesley, Mr. Lawrence",M,34,0,0,248698,13,D56,S,13,,London
1,2,"Bentham, Miss. Lilian W",F,19,0,0,28404,13,,S,12,,"Rochester, NY"
0,2,"Berriman, Mr. William John",M,23,0,0,28425,13,,S,,,"St Ives, Cornwall / Calumet, MI"
0,2,"Botsford, Mr. William Hull",M,26,0,0,237670,13,,S,,,"Elmira, NY / Orange, NJ"
0,2,"Bowenur, Mr. Solomon",M,42,0,0,211535,13,,S,,,London
0,2,"Bracken, Mr. James H",M,27,0,0,220367,13,,S,,,"Lake Arthur, Chavez County, NM"
1,2,"Brown, Miss. Amelia ""Mildred""",F,24,0,0,248733,13,F33,S,11,,"London / Montreal, PQ"
1,2,"Brown, Miss. Edith Eileen",F,15,0,2,29750,39,,S,14,,"Cape Town, South Africa / Seattle, WA"
0,2,"Brown, Mr. Thomas William Solomon",M,60,1,1,29750,39,,S,,,"Cape Town, South Africa / Seattle, WA"
1,2,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",F,40,1,1,29750,39,,S,14,,"Cape Town, South Africa / Seattle, WA"
1,2,"Bryhl, Miss. Dagmar Jenny Ingeborg ",F,20,1,0,236853,26,,S,12,,"Skara, Sweden / Rockford, IL"
0,2,"Bryhl, Mr. Kurt Arnold Gottfrid",M,25,1,0,236853,26,,S,,,"Skara, Sweden / Rockford, IL"
1,2,"Buss, Miss. Kate",F,36,0,0,27849,13,,S,9,,"Sittingbourne, England / San Diego, CA"
0,2,"Butler, Mr. Reginald Fenton",M,25,0,0,234686,13,,S,,97,"Southsea, Hants"
0,2,"Byles, Rev. Thomas Roussel Davids",M,42,0,0,244310,13,,S,,,London
1,2,"Bystrom, Mrs. (Karolina)",F,42,0,0,236852,13,,S,,,"New York, NY"
1,2,"Caldwell, Master. Alden Gates",M,0.8333,0,2,248738,29,,S,13,,"Bangkok, Thailand / Roseville, IL"
1,2,"Caldwell, Mr. Albert Francis",M,26,1,1,248738,29,,S,13,,"Bangkok, Thailand / Roseville, IL"
1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",F,22,1,1,248738,29,,S,13,,"Bangkok, Thailand / Roseville, IL"
1,2,"Cameron, Miss. Clear Annie",F,35,0,0,F.C.C. 13528,21,,S,14,,"Mamaroneck, NY"
0,2,"Campbell, Mr. William",M,,0,0,239853,0,,S,,,Belfast
0,2,"Carbines, Mr. William",M,19,0,0,28424,13,,S,,18,"St Ives, Cornwall / Calumet, MI"
0,2,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",F,44,1,0,244252,26,,S,,,London
0,2,"Carter, Rev. Ernest Courtenay",M,54,1,0,244252,26,,S,,,London
0,2,"Chapman, Mr. Charles Henry",M,52,0,0,248731,13.5,,S,,130,"Bronx, NY"
0,2,"Chapman, Mr. John Henry",M,37,1,0,SC/AH 29037,26,,S,,17,"Cornwall / Spokane, WA"
0,2,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",F,29,1,0,SC/AH 29037,26,,S,,,"Cornwall / Spokane, WA"
1,2,"Christy, Miss. Julie Rachel",F,25,1,1,237789,30,,S,12,,London
1,2,"Christy, Mrs. (Alice Frances)",F,45,0,2,237789,30,,S,12,,London
0,2,"Clarke, Mr. Charles Valentine",M,29,1,0,2003,26,,S,,,"England / San Francisco, CA"
1,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",F,28,1,0,2003,26,,S,14,,"England / San Francisco, CA"
0,2,"Coleridge, Mr. Reginald Charles",M,29,0,0,W./C. 14263,10.5,,S,,,"Hartford, Huntingdonshire"
0,2,"Collander, Mr. Erik Gustaf",M,28,0,0,248740,13,,S,,,"Helsinki, Finland Ashtabula, Ohio"
1,2,"Collett, Mr. Sidney C Stuart",M,24,0,0,28034,10.5,,S,9,,"London / Fort Byron, NY"
1,2,"Collyer, Miss. Marjorie ""Lottie""",F,8,0,2,C.A. 31921,26.25,,S,14,,"Bishopstoke, Hants / Fayette Valley, ID"
0,2,"Collyer, Mr. Harvey",M,31,1,1,C.A. 31921,26.25,,S,,,"Bishopstoke, Hants / Fayette Valley, ID"
1,2,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",F,31,1,1,C.A. 31921,26.25,,S,14,,"Bishopstoke, Hants / Fayette Valley, ID"
1,2,"Cook, Mrs. (Selena Rogers)",F,22,0,0,W./C. 14266,10.5,F33,S,14,,Pennsylvania
0,2,"Corbett, Mrs. Walter H (Irene Colvin)",F,30,0,0,237249,13,,S,,,"Provo, UT"
0,2,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",F,,0,0,F.C.C. 13534,21,,S,,,"Upper Burma, India Pittsburgh, PA"
0,2,"Cotterill, Mr. Henry ""Harry""",M,21,0,0,29107,11.5,,S,,,"Penzance, Cornwall / Akron, OH"
0,2,"Cunningham, Mr. Alfred Fleming",M,,0,0,239853,0,,S,,,Belfast
1,2,"Davies, Master. John Morgan Jr",M,8,1,1,C.A. 33112,36.75,,S,14,,"St Ives, Cornwall / Hancock, MI"
0,2,"Davies, Mr. Charles Henry",M,18,0,0,S.O.C. 14879,73.5,,S,,,"Lyndhurst, England"
1,2,"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",F,48,0,2,C.A. 33112,36.75,,S,14,,"St Ives, Cornwall / Hancock, MI"
1,2,"Davis, Miss. Mary",F,28,0,0,237668,13,,S,13,,"London / Staten Island, NY"
0,2,"de Brito, Mr. Jose Joaquim",M,32,0,0,244360,13,,S,,,"Portugal / Sau Paulo, Brazil"
0,2,"Deacon, Mr. Percy William",M,17,0,0,S.O.C. 14879,73.5,,S,,,
0,2,"del Carlo, Mr. Sebastiano",M,29,1,0,SC/PARIS 2167,27.7208,,C,,295,"Lucca, Italy / California"
1,2,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",F,24,1,0,SC/PARIS 2167,27.7208,,C,12,,"Lucca, Italy / California"
0,2,"Denbury, Mr. Herbert",M,25,0,0,C.A. 31029,31.5,,S,,,"Guernsey / Elizabeth, NJ"
0,2,"Dibden, Mr. William",M,18,0,0,S.O.C. 14879,73.5,,S,,,"New Forest, England"
1,2,"Doling, Miss. Elsie",F,18,0,1,231919,23,,S,,,Southampton
1,2,"Doling, Mrs. John T (Ada Julia Bone)",F,34,0,1,231919,23,,S,,,Southampton
0,2,"Downton, Mr. William James",M,54,0,0,28403,26,,S,,,"Holley, NY"
1,2,"Drew, Master. Marshall Brines",M,8,0,2,28220,32.5,,S,10,,"Greenport, NY"
0,2,"Drew, Mr. James Vivian",M,42,1,1,28220,32.5,,S,,,"Greenport, NY"
1,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",F,34,1,1,28220,32.5,,S,10,,"Greenport, NY"
1,2,"Duran y More, Miss. Asuncion",F,27,1,0,SC/PARIS 2149,13.8583,,C,12,,"Barcelona, Spain / Havana, Cuba"
1,2,"Duran y More, Miss. Florentina",F,30,1,0,SC/PARIS 2148,13.8583,,C,12,,"Barcelona, Spain / Havana, Cuba"
0,2,"Eitemiller, Mr. George Floyd",M,23,0,0,29751,13,,S,,,"England / Detroit, MI"
0,2,"Enander, Mr. Ingvar",M,21,0,0,236854,13,,S,,,"Goteborg, Sweden / Rockford, IL"
0,2,"Fahlstrom, Mr. Arne Jonas",M,18,0,0,236171,13,,S,,,"Oslo, Norway Bayonne, NJ"
0,2,"Faunthorpe, Mr. Harry",M,40,1,0,2926,26,,S,,286,"England / Philadelphia, PA"
1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",F,29,1,0,2926,26,,S,16,,
0,2,"Fillbrook, Mr. Joseph Charles",M,18,0,0,C.A. 15185,10.5,,S,,,"Cornwall / Houghton, MI"
0,2,"Fox, Mr. Stanley Hubert",M,36,0,0,229236,13,,S,,236,"Rochester, NY"
0,2,"Frost, Mr. Anthony Wood ""Archie""",M,,0,0,239854,0,,S,,,Belfast
0,2,"Funk, Miss. Annie Clemmer",F,38,0,0,237671,13,,S,,,"Janjgir, India / Pennsylvania"
0,2,"Fynney, Mr. Joseph J",M,35,0,0,239865,26,,S,,322,"Liverpool / Montreal, PQ"
0,2,"Gale, Mr. Harry",M,38,1,0,28664,21,,S,,,"Cornwall / Clear Creek, CO"
0,2,"Gale, Mr. Shadrach",M,34,1,0,28664,21,,S,,,"Cornwall / Clear Creek, CO"
1,2,"Garside, Miss. Ethel",F,34,0,0,243880,13,,S,12,,"Brooklyn, NY"
0,2,"Gaskell, Mr. Alfred",M,16,0,0,239865,26,,S,,,"Liverpool / Montreal, PQ"
0,2,"Gavey, Mr. Lawrence",M,26,0,0,31028,10.5,,S,,,"Guernsey / Elizabeth, NJ"
0,2,"Gilbert, Mr. William",M,47,0,0,C.A. 30769,10.5,,S,,,Cornwall
0,2,"Giles, Mr. Edgar",M,21,1,0,28133,11.5,,S,,,"Cornwall / Camden, NJ"
0,2,"Giles, Mr. Frederick Edward",M,21,1,0,28134,11.5,,S,,,"Cornwall / Camden, NJ"
0,2,"Giles, Mr. Ralph",M,24,0,0,248726,13.5,,S,,297,"West Kensington, London"
0,2,"Gill, Mr. John William",M,24,0,0,233866,13,,S,,155,"Clevedon, England"
0,2,"Gillespie, Mr. William Henry",M,34,0,0,12233,13,,S,,,"Vancouver, BC"
0,2,"Givard, Mr. Hans Kristensen",M,30,0,0,250646,13,,S,,305,
0,2,"Greenberg, Mr. Samuel",M,52,0,0,250647,13,,S,,19,"Bronx, NY"
0,2,"Hale, Mr. Reginald",M,30,0,0,250653,13,,S,,75,"Auburn, NY"
1,2,"Hamalainen, Master. Viljo",M,0.6667,1,1,250649,14.5,,S,4,,"Detroit, MI"
1,2,"Hamalainen, Mrs. William (Anna)",F,24,0,2,250649,14.5,,S,4,,"Detroit, MI"
0,2,"Harbeck, Mr. William H",M,44,0,0,248746,13,,S,,35,"Seattle, WA / Toledo, OH"
1,2,"Harper, Miss. Annie Jessie ""Nina""",F,6,0,1,248727,33,,S,11,,"Denmark Hill, Surrey / Chicago"
0,2,"Harper, Rev. John",M,28,0,1,248727,33,,S,,,"Denmark Hill, Surrey / Chicago"
1,2,"Harris, Mr. George",M,62,0,0,S.W./PP 752,10.5,,S,15,,London
0,2,"Harris, Mr. Walter",M,30,0,0,W/C 14208,10.5,,S,,,"Walthamstow, England"
1,2,"Hart, Miss. Eva Miriam",F,7,0,2,F.C.C. 13529,26.25,,S,14,,"Ilford, Essex / Winnipeg, MB"
0,2,"Hart, Mr. Benjamin",M,43,1,1,F.C.C. 13529,26.25,,S,,,"Ilford, Essex / Winnipeg, MB"
1,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",F,45,1,1,F.C.C. 13529,26.25,,S,14,,"Ilford, Essex / Winnipeg, MB"
1,2,"Herman, Miss. Alice",F,24,1,2,220845,65,,S,9,,"Somerset / Bernardsville, NJ"
1,2,"Herman, Miss. Kate",F,24,1,2,220845,65,,S,9,,"Somerset / Bernardsville, NJ"
0,2,"Herman, Mr. Samuel",M,49,1,2,220845,65,,S,,,"Somerset / Bernardsville, NJ"
1,2,"Herman, Mrs. Samuel (Jane Laver)",F,48,1,2,220845,65,,S,9,,"Somerset / Bernardsville, NJ"
1,2,"Hewlett, Mrs. (Mary D Kingcome) ",F,55,0,0,248706,16,,S,13,,"India / Rapid City, SD"
0,2,"Hickman, Mr. Leonard Mark",M,24,2,0,S.O.C. 14879,73.5,,S,,,"West Hampstead, London / Neepawa, MB"
0,2,"Hickman, Mr. Lewis",M,32,2,0,S.O.C. 14879,73.5,,S,,256,"West Hampstead, London / Neepawa, MB"
0,2,"Hickman, Mr. Stanley George",M,21,2,0,S.O.C. 14879,73.5,,S,,,"West Hampstead, London / Neepawa, MB"
0,2,"Hiltunen, Miss. Marta",F,18,1,1,250650,13,,S,,,"Kontiolahti, Finland / Detroit, MI"
1,2,"Hocking, Miss. Ellen ""Nellie""",F,20,2,1,29105,23,,S,4,,"Cornwall / Akron, OH"
0,2,"Hocking, Mr. Richard George",M,23,2,1,29104,11.5,,S,,,"Cornwall / Akron, OH"
0,2,"Hocking, Mr. Samuel James Metcalfe",M,36,0,0,242963,13,,S,,,"Devonport, England"
1,2,"Hocking, Mrs. Elizabeth (Eliza Needs)",F,54,1,3,29105,23,,S,4,,"Cornwall / Akron, OH"
0,2,"Hodges, Mr. Henry Price",M,50,0,0,250643,13,,S,,149,Southampton
0,2,"Hold, Mr. Stephen",M,44,1,0,26707,26,,S,,,"England / Sacramento, CA"
1,2,"Hold, Mrs. Stephen (Annie Margaret Hill)",F,29,1,0,26707,26,,S,10,,"England / Sacramento, CA"
0,2,"Hood, Mr. Ambrose Jr",M,21,0,0,S.O.C. 14879,73.5,,S,,,"New Forest, England"
1,2,"Hosono, Mr. Masabumi",M,42,0,0,237798,13,,S,10,,"Tokyo, Japan"
0,2,"Howard, Mr. Benjamin",M,63,1,0,24065,26,,S,,,"Swindon, England"
0,2,"Howard, Mrs. Benjamin (Ellen Truelove Arman)",F,60,1,0,24065,26,,S,,,"Swindon, England"
0,2,"Hunt, Mr. George Henry",M,33,0,0,SCO/W 1585,12.275,,S,,,"Philadelphia, PA"
1,2,"Ilett, Miss. Bertha",F,17,0,0,SO/C 14885,10.5,,S,,,Guernsey
0,2,"Jacobsohn, Mr. Sidney Samuel",M,42,1,0,243847,27,,S,,,London
1,2,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",F,24,2,1,243847,27,,S,12,,London
0,2,"Jarvis, Mr. John Denzil",M,47,0,0,237565,15,,S,,,"North Evington, England"
0,2,"Jefferys, Mr. Clifford Thomas",M,24,2,0,C.A. 31029,31.5,,S,,,"Guernsey / Elizabeth, NJ"
0,2,"Jefferys, Mr. Ernest Wilfred",M,22,2,0,C.A. 31029,31.5,,S,,,"Guernsey / Elizabeth, NJ"
0,2,"Jenkin, Mr. Stephen Curnow",M,32,0,0,C.A. 33111,10.5,,S,,,"St Ives, Cornwall / Houghton, MI"
1,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",F,23,0,0,SC/AH Basle 541,13.7917,D,C,11,,"New York, NY"
0,2,"Kantor, Mr. Sinai",M,34,1,0,244367,26,,S,,283,"Moscow / Bronx, NY"
1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",F,24,1,0,244367,26,,S,12,,"Moscow / Bronx, NY"
0,2,"Karnes, Mrs. J Frank (Claire Bennett)",F,22,0,0,F.C.C. 13534,21,,S,,,"India / Pittsburgh, PA"
1,2,"Keane, Miss. Nora A",F,,0,0,226593,12.35,E101,Q,10,,"Harrisburg, PA"
0,2,"Keane, Mr. Daniel",M,35,0,0,233734,12.35,,Q,,,
1,2,"Kelly, Mrs. Florence ""Fannie""",F,45,0,0,223596,13.5,,S,9,,"London / New York, NY"
0,2,"Kirkland, Rev. Charles Leonard",M,57,0,0,219533,12.35,,Q,,,"Glasgow / Bangor, ME"
0,2,"Knight, Mr. Robert J",M,,0,0,239855,0,,S,,,Belfast
0,2,"Kvillner, Mr. Johan Henrik Johannesson",M,31,0,0,C.A. 18723,10.5,,S,,165,"Sweden / Arlington, NJ"
0,2,"Lahtinen, Mrs. William (Anna Sylfven)",F,26,1,1,250651,26,,S,,,"Minneapolis, MN"
0,2,"Lahtinen, Rev. William",M,30,1,1,250651,26,,S,,,"Minneapolis, MN"
